Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/award/award_ceremony/awards_presented./award/award_honor/award_winner	317	197.42	28.39	5.52	12.85	185.45	33.12	9.62	16.86
/base/americancomedy/celebrity_impressionist/celebrities_impersonated	8	666.19	31.25	25.0	28.51	637.63	31.25	25.0	28.62
/sports/sports_team/roster./baseball/baseball_roster_position/position	3	23.17	33.33	0.0	12.37	4.83	100.0	0.0	27.96
/people/deceased_person/place_of_death	78	571.53	23.72	12.82	16.65	554.17	24.36	12.82	16.76
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	132	303.18	16.29	3.41	7.62	297.69	18.56	5.68	10.37
/film/film/language	314	524.04	44.11	25.32	31.17	113.43	62.9	30.89	41.3
/medicine/symptom/symptom_of	31	17.35	56.45	3.23	16.99	10.21	74.19	16.13	34.5
/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant	1	802.5	0.0	0.0	0.13	802.5	0.0	0.0	0.13
/government/legislative_session/members./government/government_position_held/district_represented	117	21.5	29.06	1.71	10.77	5.58	84.19	33.33	48.24
/location/us_county/county_seat	2	1.0	100.0	100.0	100.0	1.0	100.0	100.0	100.0
/film/film_subject/films	77	740.56	21.43	3.25	8.63	733.25	21.43	3.25	8.75
/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film	160	338.75	27.5	3.44	11.04	292.59	30.0	6.25	13.62
/base/popstra/celebrity/friendship./base/popstra/friendship/participant	32	1446.83	3.13	0.0	1.24	1443.86	4.69	0.0	1.4
/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy	50	1002.14	49.0	44.0	45.73	807.95	54.0	44.0	47.29
/location/country/second_level_divisions	46	193.18	50.0	46.74	47.62	47.48	75.0	46.74	54.95
/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency	3	1783.0	33.33	0.0	10.32	1725.33	33.33	0.0	10.47
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency	60	455.07	49.17	39.17	43.76	252.64	50.0	39.17	44.36
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location	38	45.89	39.47	11.84	22.92	31.12	51.32	18.42	28.98
/organization/organization/place_founded	16	352.88	21.88	3.13	8.66	352.25	21.88	3.13	9.47
/music/performance_role/regular_performances./music/group_membership/role	40	57.8	5.0	0.0	3.19	31.84	23.75	0.0	6.5
/music/group_member/membership./music/group_membership/role	29	91.1	29.31	5.17	13.37	75.71	43.1	5.17	15.03
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft	43	11.9	61.63	8.14	23.05	3.23	94.19	41.86	60.48
/influence/influence_node/peers./influence/peer_relationship/peers	2	39.0	0.0	0.0	2.83	38.25	0.0	0.0	2.87
/base/eating/practicer_of_diet/diet	11	662.27	50.0	36.36	43.34	627.5	50.0	40.91	45.66
