Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/education/educational_institution/students_graduates./education/education/major_field_of_study	321	154.85	12.31	0.31	0.044	115.09	37.23	7.94	0.168
/education/university/local_tuition./measurement_unit/dated_money_value/currency	1	636.0	50.0	50.0	0.5	485.0	50.0	50.0	0.501
/film/film/produced_by	60	262.41	26.67	3.33	0.113	257.98	35.83	7.5	0.163
/organization/role/leaders./organization/leadership/organization	70	200.39	50.0	37.14	0.426	60.64	55.0	40.0	0.459
/film/film/story_by	31	383.19	38.71	8.06	0.167	380.65	43.55	20.97	0.289
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school	86	154.46	15.7	4.07	0.093	135.35	26.16	9.3	0.154
/award/award_category/disciplines_or_subjects	15	26.27	50.0	3.33	0.199	12.8	76.67	56.67	0.635
/award/award_ceremony/awards_presented./award/award_honor/award_winner	317	221.98	29.97	4.1	0.122	206.12	45.27	17.67	0.263
/base/americancomedy/celebrity_impressionist/celebrities_impersonated	8	453.81	50.0	31.25	0.347	424.06	50.0	31.25	0.354
/sports/sports_team/roster./baseball/baseball_roster_position/position	3	22.17	50.0	0.0	0.12	3.67	100.0	16.67	0.422
/people/deceased_person/place_of_death	78	803.92	28.21	7.69	0.148	783.87	28.21	8.33	0.152
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	132	338.23	14.02	1.89	0.066	331.89	26.14	3.41	0.109
/film/film/language	314	626.94	43.95	27.39	0.323	169.83	60.83	37.9	0.449
/medicine/symptom/symptom_of	31	43.11	46.77	0.0	0.112	33.34	72.58	20.97	0.383
/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant	1	144.5	0.0	0.0	0.007	144.5	0.0	0.0	0.007
/government/legislative_session/members./government/government_position_held/district_represented	117	28.51	8.12	0.0	0.047	1.86	98.29	72.22	0.819
/location/us_county/county_seat	2	1555.0	0.0	0.0	0.018	1555.0	0.0	0.0	0.018
